"issued_year","ZipCode","n"
2014,10001,8
2014,10002,18
2014,10003,31
2014,10004,2
2014,10005,6
2014,10007,6
2014,10009,40
2014,10010,12
2014,10011,49
2014,10012,16
2014,10013,21
2014,10014,22
2014,10016,29
2014,10017,5
2014,10018,5
2014,10019,27
2014,10021,28
2014,10022,27
2014,10023,65
2014,10024,52
2014,10025,60
2014,10026,10
2014,10027,16
2014,10028,22
2014,10029,15
2014,10031,6
2014,10032,6
2014,10033,12
2014,10034,8
2014,10035,10
2014,10036,24
2014,10037,6
2014,10038,13
2014,10039,5
2014,10040,10
2014,10044,2
2014,10065,21
2014,10075,16
2014,10125,1
2014,10128,37
2014,10280,8
2014,10282,4
2014,10301,9
2014,10302,9
2014,10303,6
2014,10304,11
2014,10305,13
2014,10306,16
2014,10307,5
2014,10308,8
2014,10309,11
2014,10310,10
2014,10312,23
2014,10314,32
2014,10451,6
2014,10452,2
2014,10453,2
2014,10454,3
2014,10455,5
2014,10456,3
2014,10457,3
2014,10458,4
2014,10459,5
2014,10460,3
2014,10461,12
2014,10462,6
2014,10463,26
2014,10464,1
2014,10465,10
2014,10466,3
2014,10467,7
2014,10468,2
2014,10469,6
2014,10470,2
2014,10471,11
2014,10472,7
2014,10473,8
2014,10475,3
2014,11004,5
2014,11101,12
2014,11102,11
2014,11103,3
2014,11104,7
2014,11105,11
2014,11106,15
2014,11109,9
2014,11201,49
2014,11203,1
2014,11204,7
2014,11205,13
2014,11206,10
2014,11207,5
2014,11208,7
2014,11209,34
2014,11210,2
2014,11211,26
2014,11212,2
2014,11213,3
2014,11214,11
2014,11215,37
2014,11216,8
2014,11217,17
2014,11218,14
2014,11219,3
2014,11220,9
2014,11221,17
2014,11222,37
2014,11223,13
2014,11224,11
2014,11225,3
2014,11226,7
2014,11228,15
2014,11229,10
2014,11230,6
2014,11231,23
2014,11232,9
2014,11233,7
2014,11234,20
2014,11235,14
2014,11236,7
2014,11237,4
2014,11238,22
2014,11239,1
2014,11249,7
2014,11354,6
2014,11355,5
2014,11357,4
2014,11358,15
2014,11360,4
2014,11361,9
2014,11362,4
2014,11363,1
2014,11364,9
2014,11365,7
2014,11366,4
2014,11367,3
2014,11368,5
2014,11369,4
2014,11370,4
2014,11372,4
2014,11373,12
2014,11374,6
2014,11375,29
2014,11377,9
2014,11378,15
2014,11379,8
2014,11385,17
2014,11412,2
2014,11414,5
2014,11415,5
2014,11416,2
2014,11417,4
2014,11418,3
2014,11419,2
2014,11420,3
2014,11421,2
2014,11423,1
2014,11426,9
2014,11427,1
2014,11428,2
2014,11429,2
2014,11432,9
2014,11434,4
2014,11435,4
2014,11436,1
2014,11691,3
2014,11692,2
2014,11693,1
2014,11694,9
2014,11697,2
2015,10001,340
2015,10002,409
2015,10003,558
2015,10004,55
2015,10005,129
2015,10006,59
2015,10007,69
2015,10008,1
2015,10009,758
2015,10010,401
2015,10011,815
2015,10012,309
2015,10013,261
2015,10014,530
2015,10016,458
2015,10017,168
2015,10018,127
2015,10019,505
2015,10020,1
2015,10021,541
2015,10022,386
2015,10023,792
2015,10024,794
2015,10025,1039
2015,10026,190
2015,10027,294
2015,10028,568
2015,10029,554
2015,10030,118
2015,10031,210
2015,10032,269
2015,10033,258
2015,10034,240
2015,10035,200
2015,10036,413
2015,10037,104
2015,10038,250
2015,10039,141
2015,10040,189
2015,10044,67
2015,10065,346
2015,10069,94
2015,10075,311
2015,10101,2
2015,10107,1
2015,10108,1
2015,10116,2
2015,10118,1
2015,10119,1
2015,10128,722
2015,10129,1
2015,10150,1
2015,10155,1
2015,10156,1
2015,10162,1
2015,10163,4
2015,10175,1
2015,10185,2
2015,10280,114
2015,10282,86
2015,10301,262
2015,10302,111
2015,10303,148
2015,10304,238
2015,10305,297
2015,10306,481
2015,10307,115
2015,10308,274
2015,10309,300
2015,10310,176
2015,10312,566
2015,10313,2
2015,10314,602
2015,10451,153
2015,10452,132
2015,10453,165
2015,10454,155
2015,10455,160
2015,10456,216
2015,10457,149
2015,10458,192
2015,10459,137
2015,10460,181
2015,10461,282
2015,10462,289
2015,10463,354
2015,10464,45
2015,10465,334
2015,10466,125
2015,10467,294
2015,10468,167
2015,10469,219
2015,10470,43
2015,10471,169
2015,10472,210
2015,10473,298
2015,10474,35
2015,10475,71
2015,11004,90
2015,11101,252
2015,11102,192
2015,11103,156
2015,11104,177
2015,11105,212
2015,11106,217
2015,11109,110
2015,11201,745
2015,11203,133
2015,11204,177
2015,11205,237
2015,11206,416
2015,11207,248
2015,11208,254
2015,11209,534
2015,11210,117
2015,11211,456
2015,11212,147
2015,11213,132
2015,11214,324
2015,11215,726
2015,11216,236
2015,11217,366
2015,11218,391
2015,11219,118
2015,11220,310
2015,11221,357
2015,11222,280
2015,11223,227
2015,11224,239
2015,11225,195
2015,11226,283
2015,11228,231
2015,11229,370
2015,11230,203
2015,11231,379
2015,11232,118
2015,11233,175
2015,11234,455
2015,11235,315
2015,11236,212
2015,11237,264
2015,11238,399
2015,11239,83
2015,11243,1
2015,11249,197
2015,11352,1
2015,11354,175
2015,11355,197
2015,11356,125
2015,11357,235
2015,11358,208
2015,11360,83
2015,11361,175
2015,11362,58
2015,11363,46
2015,11364,175
2015,11365,190
2015,11366,68
2015,11367,131
2015,11368,200
2015,11369,128
2015,11370,115
2015,11372,309
2015,11373,288
2015,11374,173
2015,11375,346
2015,11377,366
2015,11378,239
2015,11379,285
2015,11385,457
2015,11386,5
2015,11411,38
2015,11412,75
2015,11413,79
2015,11414,160
2015,11415,116
2015,11416,82
2015,11417,150
2015,11418,135
2015,11419,97
2015,11420,125
2015,11421,188
2015,11422,41
2015,11423,65
2015,11426,68
2015,11427,66
2015,11428,54
2015,11429,53
2015,11431,1
2015,11432,118
2015,11433,71
2015,11434,122
2015,11435,128
2015,11436,47
2015,11690,2
2015,11691,106
2015,11692,71
2015,11693,91
2015,11694,118
2015,11697,16
2016,10001,552
2016,10002,699
2016,10003,948
2016,10004,73
2016,10005,151
2016,10006,76
2016,10007,130
2016,10008,1
2016,10009,1296
2016,10010,735
2016,10011,1363
2016,10012,526
2016,10013,441
2016,10014,952
2016,10016,781
2016,10017,227
2016,10018,185
2016,10019,891
2016,10020,4
2016,10021,911
2016,10022,684
2016,10023,1487
2016,10024,1518
2016,10025,1857
2016,10026,321
2016,10027,532
2016,10028,1026
2016,10029,994
2016,10030,175
2016,10031,387
2016,10032,394
2016,10033,438
2016,10034,397
2016,10035,322
2016,10036,682
2016,10037,161
2016,10038,433
2016,10039,191
2016,10040,327
2016,10044,124
2016,10065,634
2016,10069,172
2016,10075,537
2016,10101,2
2016,10107,1
2016,10111,1
2016,10113,1
2016,10116,1
2016,10119,1
2016,10128,1330
2016,10129,5
2016,10150,4
2016,10153,1
2016,10155,4
2016,10156,2
2016,10159,2
2016,10162,5
2016,10163,7
2016,10185,7
2016,10268,1
2016,10272,3
2016,10274,1
2016,10276,1
2016,10280,201
2016,10282,96
2016,10301,451
2016,10302,205
2016,10303,234
2016,10304,484
2016,10305,585
2016,10306,1077
2016,10307,245
2016,10308,606
2016,10309,624
2016,10310,352
2016,10312,1210
2016,10314,1334
2016,10451,227
2016,10452,217
2016,10453,196
2016,10454,229
2016,10455,238
2016,10456,345
2016,10457,209
2016,10458,291
2016,10459,245
2016,10460,245
2016,10461,571
2016,10462,541
2016,10463,694
2016,10464,112
2016,10465,656
2016,10466,239
2016,10467,432
2016,10468,234
2016,10469,400
2016,10470,96
2016,10471,309
2016,10472,344
2016,10473,536
2016,10474,59
2016,10475,168
2016,11004,142
2016,11101,472
2016,11102,333
2016,11103,260
2016,11104,305
2016,11105,391
2016,11106,372
2016,11109,158
2016,11201,1218
2016,11202,4
2016,11203,204
2016,11204,382
2016,11205,386
2016,11206,641
2016,11207,380
2016,11208,376
2016,11209,973
2016,11210,178
2016,11211,642
2016,11212,232
2016,11213,236
2016,11214,632
2016,11215,1305
2016,11216,382
2016,11217,587
2016,11218,670
2016,11219,206
2016,11220,549
2016,11221,539
2016,11222,540
2016,11223,442
2016,11224,389
2016,11225,318
2016,11226,461
2016,11228,454
2016,11229,637
2016,11230,366
2016,11231,627
2016,11232,194
2016,11233,334
2016,11234,812
2016,11235,614
2016,11236,359
2016,11237,313
2016,11238,651
2016,11239,129
2016,11242,1
2016,11243,7
2016,11249,329
2016,11354,296
2016,11355,374
2016,11356,210
2016,11357,501
2016,11358,376
2016,11360,197
2016,11361,394
2016,11362,146
2016,11363,85
2016,11364,357
2016,11365,357
2016,11366,134
2016,11367,253
2016,11368,305
2016,11369,192
2016,11370,215
2016,11372,520
2016,11373,460
2016,11374,348
2016,11375,747
2016,11377,636
2016,11378,445
2016,11379,630
2016,11385,934
2016,11386,4
2016,11411,74
2016,11412,130
2016,11413,117
2016,11414,324
2016,11415,199
2016,11416,138
2016,11417,255
2016,11418,248
2016,11419,162
2016,11420,195
2016,11421,326
2016,11422,108
2016,11423,121
2016,11425,2
2016,11426,177
2016,11427,129
2016,11428,87
2016,11429,78
2016,11431,1
2016,11432,201
2016,11433,96
2016,11434,204
2016,11435,237
2016,11436,66
2016,11690,3
2016,11691,159
2016,11692,99
2016,11693,171
2016,11694,223
2016,11697,44
